,State,MSA,Month,YTD_Rental_Goals
1208,NY,Syracuse NY,2021-09-30,60.0
1209,NY,Syracuse NY,2021-10-31,60.0
1210,NY,Syracuse NY,2021-11-30,61.0
1211,NY,Syracuse NY,2021-12-31,61.0
1212,NY,Utica NY,2021-01-31,21.0
1213,NY,Utica NY,2021-02-28,22.0
1214,NY,Utica NY,2021-03-31,22.0
1215,NY,Utica NY,2021-04-30,23.0
1216,NY,Utica NY,2021-05-31,24.0
1217,NY,Utica NY,2021-06-30,25.0
1218,NY,Utica NY,2021-07-31,25.0
1219,NY,Utica NY,2021-08-31,26.0
1220,NY,Utica NY,2021-09-30,27.0
1221,NY,Utica NY,2021-10-31,28.0
1222,NY,Utica NY,2021-11-30,28.0
1223,NY,Utica NY,2021-12-31,29.0
1224,OH,Akron OH,2021-01-31,294.0
1225,OH,Akron OH,2021-02-28,294.0
1226,OH,Akron OH,2021-03-31,295.0
1227,OH,Akron OH,2021-04-30,295.0
1228,OH,Akron OH,2021-05-31,296.0
1229,OH,Akron OH,2021-06-30,296.0
1230,OH,Akron OH,2021-07-31,297.0
1231,OH,Akron OH,2021-08-31,297.0
1232,OH,Akron OH,2021-09-30,298.0
1233,OH,Akron OH,2021-10-31,298.0
1234,OH,Akron OH,2021-11-30,299.0
1235,OH,Akron OH,2021-12-31,299.0
1236,OH,Cincinnati OH,2021-01-31,279.0
1237,OH,Cincinnati OH,2021-02-28,280.0
1238,OH,Cincinnati OH,2021-03-31,282.0
1239,OH,Cincinnati OH,2021-04-30,283.0
1240,OH,Cincinnati OH,2021-05-31,285.0
1241,OH,Cincinnati OH,2021-06-30,287.0
1242,OH,Cincinnati OH,2021-07-31,288.0
1243,OH,Cincinnati OH,2021-08-31,290.0
1244,OH,Cincinnati OH,2021-09-30,291.0
1245,OH,Cincinnati OH,2021-10-31,293.0
1246,OH,Cincinnati OH,2021-11-30,294.0
1247,OH,Cincinnati OH,2021-12-31,296.0
1248,OH,Cleveland OH,2021-01-31,452.0
1249,OH,Cleveland OH,2021-02-28,452.0
1250,OH,Cleveland OH,2021-03-31,458.0
1251,OH,Cleveland OH,2021-04-30,459.0
1252,OH,Cleveland OH,2021-05-31,459.0
1253,OH,Cleveland OH,2021-06-30,460.0
1254,OH,Cleveland OH,2021-07-31,461.0
1255,OH,Cleveland OH,2021-08-31,461.0
1256,OH,Cleveland OH,2021-09-30,462.0
1257,OH,Cleveland OH,2021-10-31,463.0
1258,OH,Cleveland OH,2021-11-30,463.0
1259,OH,Cleveland OH,2021-12-31,464.0
1260,OH,Columbus OH,2021-01-31,533.0
1261,OH,Columbus OH,2021-02-28,535.0
1262,OH,Columbus OH,2021-03-31,541.0
1263,OH,Columbus OH,2021-04-30,542.0
1264,OH,Columbus OH,2021-05-31,543.0
1265,OH,Columbus OH,2021-06-30,545.0
1266,OH,Columbus OH,2021-07-31,546.0
1267,OH,Columbus OH,2021-08-31,547.0
1268,OH,Columbus OH,2021-09-30,548.0
1269,OH,Columbus OH,2021-10-31,550.0
1270,OH,Columbus OH,2021-11-30,551.0
1271,OH,Columbus OH,2021-12-31,552.0
1272,OH,Dayton OH,2021-01-31,249.0
1273,OH,Dayton OH,2021-02-28,251.0
1274,OH,Dayton OH,2021-03-31,254.0
1275,OH,Dayton OH,2021-04-30,256.0
1276,OH,Dayton OH,2021-05-31,258.0
1277,OH,Dayton OH,2021-06-30,260.0
1278,OH,Dayton OH,2021-07-31,261.0
1279,OH,Dayton OH,2021-08-31,263.0
1280,OH,Dayton OH,2021-09-30,265.0
1281,OH,Dayton OH,2021-10-31,242.0
1282,OH,Dayton OH,2021-11-30,244.0
1283,OH,Dayton OH,2021-12-31,246.0
1284,OH,Other OH,2021-01-31,406.0
1285,OH,Other OH,2021-02-28,406.0
1286,OH,Other OH,2021-03-31,406.0
1287,OH,Other OH,2021-04-30,406.0
1288,OH,Other OH,2021-05-31,406.0
1289,OH,Other OH,2021-06-30,407.0
1290,OH,Other OH,2021-07-31,407.0
1291,OH,Other OH,2021-08-31,407.0
1292,OH,Other OH,2021-09-30,407.0
1293,OH,Other OH,2021-10-31,407.0
1294,OH,Other OH,2021-11-30,407.0
1295,OH,Other OH,2021-12-31,407.0
1296,OH,Toledo OH,2021-01-31,197.0
1297,OH,Toledo OH,2021-02-28,198.0
1298,OH,Toledo OH,2021-03-31,198.0
1299,OH,Toledo OH,2021-04-30,199.0
1300,OH,Toledo OH,2021-05-31,199.0
1301,OH,Toledo OH,2021-06-30,200.0
1302,OH,Toledo OH,2021-07-31,200.0
1303,OH,Toledo OH,2021-08-31,200.0
1304,OH,Toledo OH,2021-09-30,201.0
1305,OH,Toledo OH,2021-10-31,201.0
1306,OH,Toledo OH,2021-11-30,202.0
1307,OH,Toledo OH,2021-12-31,202.0
1308,OK,Oklahoma City OK,2021-01-31,351.0
1309,OK,Oklahoma City OK,2021-02-28,351.0
1310,OK,Oklahoma City OK,2021-03-31,354.0
1311,OK,Oklahoma City OK,2021-04-30,354.0
1312,OK,Oklahoma City OK,2021-05-31,355.0
1313,OK,Oklahoma City OK,2021-06-30,356.0
1314,OK,Oklahoma City OK,2021-07-31,356.0
1315,OK,Oklahoma City OK,2021-08-31,357.0
1316,OK,Oklahoma City OK,2021-09-30,357.0
1317,OK,Oklahoma City OK,2021-10-31,358.0
1318,OK,Oklahoma City OK,2021-11-30,358.0
1319,OK,Oklahoma City OK,2021-12-31,359.0
1320,OK,Other OK,2021-01-31,243.0
1321,OK,Other OK,2021-02-28,245.0
1322,OK,Other OK,2021-03-31,253.0
1323,OK,Other OK,2021-04-30,254.0
1324,OK,Other OK,2021-05-31,256.0
1325,OK,Other OK,2021-06-30,257.0
1326,OK,Other OK,2021-07-31,258.0
1327,OK,Other OK,2021-08-31,260.0
1328,OK,Other OK,2021-09-30,261.0
1329,OK,Other OK,2021-10-31,262.0
1330,OK,Other OK,2021-11-30,264.0
1331,OK,Other OK,2021-12-31,265.0
1332,OK,Tulsa OK,2021-01-31,225.0
1333,OK,Tulsa OK,2021-02-28,226.0
1334,OK,Tulsa OK,2021-03-31,227.0
1335,OK,Tulsa OK,2021-04-30,228.0
1336,OK,Tulsa OK,2021-05-31,229.0
1337,OK,Tulsa OK,2021-06-30,231.0
1338,OK,Tulsa OK,2021-07-31,232.0
1339,OK,Tulsa OK,2021-08-31,233.0
1340,OK,Tulsa OK,2021-09-30,234.0
1341,OK,Tulsa OK,2021-10-31,235.0
1342,OK,Tulsa OK,2021-11-30,236.0
1343,OK,Tulsa OK,2021-12-31,237.0
1344,OR,Oregon,2021-01-31,794.0
1345,OR,Oregon,2021-02-28,797.0
1346,OR,Oregon,2021-03-31,802.0
1347,OR,Oregon,2021-04-30,804.0
1348,OR,Oregon,2021-05-31,807.0
1349,OR,Oregon,2021-06-30,809.0
1350,OR,Oregon,2021-07-31,811.0
1351,OR,Oregon,2021-08-31,814.0
1352,OR,Oregon,2021-09-30,816.0
1353,OR,Oregon,2021-10-31,818.0
1354,OR,Oregon,2021-11-30,821.0
1355,OR,Oregon,2021-12-31,823.0
1356,PA,Allentown PA,2021-01-31,246.0
1357,PA,Allentown PA,2021-02-28,249.0
1358,PA,Allentown PA,2021-03-31,252.0
1359,PA,Allentown PA,2021-04-30,254.0
1360,PA,Allentown PA,2021-05-31,257.0
1361,PA,Allentown PA,2021-06-30,259.0
1362,PA,Allentown PA,2021-07-31,261.0
1363,PA,Allentown PA,2021-08-31,264.0
1364,PA,Allentown PA,2021-09-30,266.0
1365,PA,Allentown PA,2021-10-31,268.0
1366,PA,Allentown PA,2021-11-30,271.0
1367,PA,Allentown PA,2021-12-31,273.0
1368,PA,Harrisburg PA,2021-01-31,212.0
1369,PA,Harrisburg PA,2021-02-28,217.0
1370,PA,Harrisburg PA,2021-03-31,237.0
1371,PA,Harrisburg PA,2021-04-30,242.0
1372,PA,Harrisburg PA,2021-05-31,247.0
1373,PA,Harrisburg PA,2021-06-30,252.0
1374,PA,Harrisburg PA,2021-07-31,256.0
1375,PA,Harrisburg PA,2021-08-31,261.0
1376,PA,Harrisburg PA,2021-09-30,266.0
1377,PA,Harrisburg PA,2021-10-31,271.0
1378,PA,Harrisburg PA,2021-11-30,275.0
1379,PA,Harrisburg PA,2021-12-31,280.0
1380,PA,Other PA,2021-01-31,463.0
1381,PA,Other PA,2021-02-28,466.0
1382,PA,Other PA,2021-03-31,470.0
1383,PA,Other PA,2021-04-30,473.0
1384,PA,Other PA,2021-05-31,476.0
1385,PA,Other PA,2021-06-30,479.0
1386,PA,Other PA,2021-07-31,482.0
1387,PA,Other PA,2021-08-31,485.0
1388,PA,Other PA,2021-09-30,488.0
1389,PA,Other PA,2021-10-31,491.0
1390,PA,Other PA,2021-11-30,494.0
1391,PA,Other PA,2021-12-31,497.0
1392,PA,Philadelphia PA,2021-01-31,562.0
1393,PA,Philadelphia PA,2021-02-28,566.0
1394,PA,Philadelphia PA,2021-03-31,573.0
1395,PA,Philadelphia PA,2021-04-30,576.0
1396,PA,Philadelphia PA,2021-05-31,580.0
1397,PA,Philadelphia PA,2021-06-30,584.0
1398,PA,Philadelphia PA,2021-07-31,588.0
1399,PA,Philadelphia PA,2021-08-31,592.0
1400,PA,Philadelphia PA,2021-09-30,596.0
1401,PA,Philadelphia PA,2021-10-31,599.0
1402,PA,Philadelphia PA,2021-11-30,603.0
1403,PA,Philadelphia PA,2021-12-31,607.0
1404,PA,Pittsburgh PA,2021-01-31,314.0
1405,PA,Pittsburgh PA,2021-02-28,317.0
1406,PA,Pittsburgh PA,2021-03-31,320.0
1407,PA,Pittsburgh PA,2021-04-30,322.0
1408,PA,Pittsburgh PA,2021-05-31,325.0
1409,PA,Pittsburgh PA,2021-06-30,328.0
1410,PA,Pittsburgh PA,2021-07-31,331.0
1411,PA,Pittsburgh PA,2021-08-31,334.0
1412,PA,Pittsburgh PA,2021-09-30,337.0
1413,PA,Pittsburgh PA,2021-10-31,339.0
1414,PA,Pittsburgh PA,2021-11-30,342.0
1415,PA,Pittsburgh PA,2021-12-31,345.0
1416,RI,Rhode Island,2021-01-31,245.0
1417,RI,Rhode Island,2021-02-28,248.0
1418,RI,Rhode Island,2021-03-31,253.0
1419,RI,Rhode Island,2021-04-30,256.0
1420,RI,Rhode Island,2021-05-31,259.0
1421,RI,Rhode Island,2021-06-30,263.0
1422,RI,Rhode Island,2021-07-31,266.0
1423,RI,Rhode Island,2021-08-31,269.0
1424,RI,Rhode Island,2021-09-30,272.0
1425,RI,Rhode Island,2021-10-31,275.0
1426,RI,Rhode Island,2021-11-30,278.0
1427,RI,Rhode Island,2021-12-31,281.0
1428,SC,Charleston SC,2021-01-31,317.0
1429,SC,Charleston SC,2021-02-28,320.0
1430,SC,Charleston SC,2021-03-31,326.0
1431,SC,Charleston SC,2021-04-30,329.0
1432,SC,Charleston SC,2021-05-31,332.0
1433,SC,Charleston SC,2021-06-30,335.0
1434,SC,Charleston SC,2021-07-31,338.0
1435,SC,Charleston SC,2021-08-31,341.0
1436,SC,Charleston SC,2021-09-30,344.0
1437,SC,Charleston SC,2021-10-31,347.0
1438,SC,Charleston SC,2021-11-30,350.0
1439,SC,Charleston SC,2021-12-31,353.0
1440,SC,Columbia SC,2021-01-31,232.0
1441,SC,Columbia SC,2021-02-28,235.0
1442,SC,Columbia SC,2021-03-31,239.0
1443,SC,Columbia SC,2021-04-30,241.0
1444,SC,Columbia SC,2021-05-31,243.0
1445,SC,Columbia SC,2021-06-30,246.0
1446,SC,Columbia SC,2021-07-31,248.0
1447,SC,Columbia SC,2021-08-31,250.0
1448,SC,Columbia SC,2021-09-30,252.0
1449,SC,Columbia SC,2021-10-31,255.0
1450,SC,Columbia SC,2021-11-30,257.0
1451,SC,Columbia SC,2021-12-31,259.0
1452,SC,Florence SC,2021-01-31,183.0
1453,SC,Florence SC,2021-02-28,185.0
1454,SC,Florence SC,2021-03-31,189.0
1455,SC,Florence SC,2021-04-30,191.0
1456,SC,Florence SC,2021-05-31,194.0
1457,SC,Florence SC,2021-06-30,196.0
1458,SC,Florence SC,2021-07-31,199.0
1459,SC,Florence SC,2021-08-31,201.0
1460,SC,Florence SC,2021-09-30,204.0
1461,SC,Florence SC,2021-10-31,206.0
1462,SC,Florence SC,2021-11-30,209.0
1463,SC,Florence SC,2021-12-31,211.0
1464,SC,Greenville-Spartanburg SC,2021-01-31,317.0
1465,SC,Greenville-Spartanburg SC,2021-02-28,321.0
1466,SC,Greenville-Spartanburg SC,2021-03-31,326.0
1467,SC,Greenville-Spartanburg SC,2021-04-30,330.0
1468,SC,Greenville-Spartanburg SC,2021-05-31,333.0
1469,SC,Greenville-Spartanburg SC,2021-06-30,337.0
1470,SC,Greenville-Spartanburg SC,2021-07-31,340.0
1471,SC,Greenville-Spartanburg SC,2021-08-31,343.0
1472,SC,Greenville-Spartanburg SC,2021-09-30,347.0
1473,SC,Greenville-Spartanburg SC,2021-10-31,350.0
1474,SC,Greenville-Spartanburg SC,2021-11-30,354.0
1475,SC,Greenville-Spartanburg SC,2021-12-31,357.0
1476,SC,Rock Hill SC,2021-01-31,209.0
1477,SC,Rock Hill SC,2021-02-28,209.0
1478,SC,Rock Hill SC,2021-03-31,210.0
1479,SC,Rock Hill SC,2021-04-30,210.0
1480,SC,Rock Hill SC,2021-05-31,211.0
1481,SC,Rock Hill SC,2021-06-30,211.0
1482,SC,Rock Hill SC,2021-07-31,212.0
1483,SC,Rock Hill SC,2021-08-31,212.0
1484,SC,Rock Hill SC,2021-09-30,213.0
1485,SC,Rock Hill SC,2021-10-31,213.0
1486,SC,Rock Hill SC,2021-11-30,214.0
1487,SC,Rock Hill SC,2021-12-31,214.0
1488,SD,South Dakota,2021-01-31,96.0
1489,SD,South Dakota,2021-02-28,97.0
1490,SD,South Dakota,2021-03-31,101.0
1491,SD,South Dakota,2021-04-30,102.0
1492,SD,South Dakota,2021-05-31,104.0
1493,SD,South Dakota,2021-06-30,106.0
1494,SD,South Dakota,2021-07-31,107.0
1495,SD,South Dakota,2021-08-31,109.0
1496,SD,South Dakota,2021-09-30,110.0
1497,SD,South Dakota,2021-10-31,112.0
1498,SD,South Dakota,2021-11-30,113.0
1499,SD,South Dakota,2021-12-31,115.0
1500,TN,Chattanooga TN,2021-01-31,256.0
1501,TN,Chattanooga TN,2021-02-28,256.0
1502,TN,Chattanooga TN,2021-03-31,258.0
1503,TN,Chattanooga TN,2021-04-30,258.0
1504,TN,Chattanooga TN,2021-05-31,259.0
1505,TN,Chattanooga TN,2021-06-30,259.0
1506,TN,Chattanooga TN,2021-07-31,260.0
1507,TN,Chattanooga TN,2021-08-31,260.0
1508,TN,Chattanooga TN,2021-09-30,261.0
1509,TN,Chattanooga TN,2021-10-31,261.0
1510,TN,Chattanooga TN,2021-11-30,262.0
1511,TN,Chattanooga TN,2021-12-31,262.0
1512,TN,Knoxville TN,2021-01-31,139.0
1513,TN,Knoxville TN,2021-02-28,140.0
1514,TN,Knoxville TN,2021-03-31,142.0
1515,TN,Knoxville TN,2021-04-30,143.0
1516,TN,Knoxville TN,2021-05-31,144.0
1517,TN,Knoxville TN,2021-06-30,145.0
1518,TN,Knoxville TN,2021-07-31,146.0
1519,TN,Knoxville TN,2021-08-31,147.0
1520,TN,Knoxville TN,2021-09-30,149.0
1521,TN,Knoxville TN,2021-10-31,150.0
1522,TN,Knoxville TN,2021-11-30,151.0
1523,TN,Knoxville TN,2021-12-31,152.0
1524,TN,Memphis TN,2021-01-31,322.0
1525,TN,Memphis TN,2021-02-28,323.0
1526,TN,Memphis TN,2021-03-31,323.0
1527,TN,Memphis TN,2021-04-30,323.0
1528,TN,Memphis TN,2021-05-31,323.0
1529,TN,Memphis TN,2021-06-30,324.0
1530,TN,Memphis TN,2021-07-31,324.0
1531,TN,Memphis TN,2021-08-31,324.0
1532,TN,Memphis TN,2021-09-30,324.0
1533,TN,Memphis TN,2021-10-31,325.0
1534,TN,Memphis TN,2021-11-30,325.0
1535,TN,Memphis TN,2021-12-31,325.0
1536,TN,Nashville TN,2021-01-31,481.0
1537,TN,Nashville TN,2021-02-28,482.0
1538,TN,Nashville TN,2021-03-31,484.0
1539,TN,Nashville TN,2021-04-30,485.0
1540,TN,Nashville TN,2021-05-31,486.0
1541,TN,Nashville TN,2021-06-30,487.0
1542,TN,Nashville TN,2021-07-31,487.0
1543,TN,Nashville TN,2021-08-31,488.0
1544,TN,Nashville TN,2021-09-30,489.0
1545,TN,Nashville TN,2021-10-31,490.0
1546,TN,Nashville TN,2021-11-30,491.0
1547,TN,Nashville TN,2021-12-31,492.0
1548,TN,Other TN,2021-01-31,452.0
1549,TN,Other TN,2021-02-28,453.0
1550,TN,Other TN,2021-03-31,453.0
1551,TN,Other TN,2021-04-30,454.0
1552,TN,Other TN,2021-05-31,454.0
1553,TN,Other TN,2021-06-30,455.0
1554,TN,Other TN,2021-07-31,455.0
1555,TN,Other TN,2021-08-31,455.0
1556,TN,Other TN,2021-09-30,456.0
1557,TN,Other TN,2021-10-31,456.0
1558,TN,Other TN,2021-11-30,457.0
1559,TN,Other TN,2021-12-31,457.0
1560,TX,Austin TX,2021-01-31,996.0
1561,TX,Austin TX,2021-02-28,996.0
1562,TX,Austin TX,2021-03-31,997.0
1563,TX,Austin TX,2021-04-30,997.0
1564,TX,Austin TX,2021-05-31,997.0
1565,TX,Austin TX,2021-06-30,998.0
1566,TX,Austin TX,2021-07-31,998.0
1567,TX,Austin TX,2021-08-31,998.0
1568,TX,Austin TX,2021-09-30,998.0
1569,TX,Austin TX,2021-10-31,998.0
1570,TX,Austin TX,2021-11-30,998.0
1571,TX,Austin TX,2021-12-31,998.0
1572,TX,Dallas TX,2021-01-31,1373.0
1573,TX,Dallas TX,2021-02-28,1374.0
1574,TX,Dallas TX,2021-03-31,1375.0
1575,TX,Dallas TX,2021-04-30,1376.0
1576,TX,Dallas TX,2021-05-31,1377.0
1577,TX,Dallas TX,2021-06-30,1378.0
1578,TX,Dallas TX,2021-07-31,1378.0
1579,TX,Dallas TX,2021-08-31,1379.0
1580,TX,Dallas TX,2021-09-30,1380.0
1581,TX,Dallas TX,2021-10-31,1381.0
1582,TX,Dallas TX,2021-11-30,1382.0
1583,TX,Dallas TX,2021-12-31,1383.0
1584,TX,El Paso TX,2021-01-31,247.0
1585,TX,El Paso TX,2021-02-28,248.0
1586,TX,El Paso TX,2021-03-31,248.0
1587,TX,El Paso TX,2021-04-30,249.0
1588,TX,El Paso TX,2021-05-31,249.0
1589,TX,El Paso TX,2021-06-30,250.0
1590,TX,El Paso TX,2021-07-31,250.0
1591,TX,El Paso TX,2021-08-31,250.0
1592,TX,El Paso TX,2021-09-30,251.0
1593,TX,El Paso TX,2021-10-31,251.0
1594,TX,El Paso TX,2021-11-30,252.0
1595,TX,El Paso TX,2021-12-31,252.0
1596,TX,Fort Worth-Arlington TX,2021-01-31,995.0
1597,TX,Fort Worth-Arlington TX,2021-02-28,996.0
1598,TX,Fort Worth-Arlington TX,2021-03-31,998.0
1599,TX,Fort Worth-Arlington TX,2021-04-30,999.0
1600,TX,Fort Worth-Arlington TX,2021-05-31,999.0
1601,TX,Fort Worth-Arlington TX,2021-06-30,1000.0
1602,TX,Fort Worth-Arlington TX,2021-07-31,1000.0
1603,TX,Fort Worth-Arlington TX,2021-08-31,1000.0
1604,TX,Fort Worth-Arlington TX,2021-09-30,1001.0
1605,TX,Fort Worth-Arlington TX,2021-10-31,1001.0
1606,TX,Fort Worth-Arlington TX,2021-11-30,1002.0
1607,TX,Fort Worth-Arlington TX,2021-12-31,1002.0
1608,TX,Houston TX,2021-01-31,1439.0
1609,TX,Houston TX,2021-02-28,1440.0
1610,TX,Houston TX,2021-03-31,1440.0
1611,TX,Houston TX,2021-04-30,1440.0
1612,TX,Houston TX,2021-05-31,1441.0
1613,TX,Houston TX,2021-06-30,1441.0
1614,TX,Houston TX,2021-07-31,1441.0
1615,TX,Houston TX,2021-08-31,1442.0
1616,TX,Houston TX,2021-09-30,1442.0
1617,TX,Houston TX,2021-10-31,1442.0
1618,TX,Houston TX,2021-11-30,1443.0
1619,TX,Houston TX,2021-12-31,1443.0
1620,TX,Other TX,2021-01-31,1826.0
1621,TX,Other TX,2021-02-28,1826.0
1622,TX,Other TX,2021-03-31,1827.0
1623,TX,Other TX,2021-04-30,1827.0
1624,TX,Other TX,2021-05-31,1827.0
1625,TX,Other TX,2021-06-30,1827.0
1626,TX,Other TX,2021-07-31,1827.0
1627,TX,Other TX,2021-08-31,1827.0
1628,TX,Other TX,2021-09-30,1828.0
1629,TX,Other TX,2021-10-31,1828.0
1630,TX,Other TX,2021-11-30,1828.0
1631,TX,Other TX,2021-12-31,1828.0
1632,TX,San Antonio TX,2021-01-31,1395.0
1633,TX,San Antonio TX,2021-02-28,1396.0
1634,TX,San Antonio TX,2021-03-31,1397.0
1635,TX,San Antonio TX,2021-04-30,1397.0
1636,TX,San Antonio TX,2021-05-31,1398.0
1637,TX,San Antonio TX,2021-06-30,1399.0
1638,TX,San Antonio TX,2021-07-31,1400.0
1639,TX,San Antonio TX,2021-08-31,1401.0
1640,TX,San Antonio TX,2021-09-30,1402.0
1641,TX,San Antonio TX,2021-10-31,1402.0
1642,TX,San Antonio TX,2021-11-30,1403.0
1643,TX,San Antonio TX,2021-12-31,1404.0
1644,UT,Other UT,2021-01-31,332.0
1645,UT,Other UT,2021-02-28,332.0
1646,UT,Other UT,2021-03-31,334.0
1647,UT,Other UT,2021-04-30,334.0
1648,UT,Other UT,2021-05-31,335.0
1649,UT,Other UT,2021-06-30,335.0
1650,UT,Other UT,2021-07-31,336.0
1651,UT,Other UT,2021-08-31,336.0
1652,UT,Other UT,2021-09-30,337.0
1653,UT,Other UT,2021-10-31,337.0
1654,UT,Other UT,2021-11-30,338.0
1655,UT,Other UT,2021-12-31,338.0
1656,UT,Salt Lake City UT,2021-01-31,441.0
1657,UT,Salt Lake City UT,2021-02-28,441.0
1658,UT,Salt Lake City UT,2021-03-31,442.0
1659,UT,Salt Lake City UT,2021-04-30,442.0
1660,UT,Salt Lake City UT,2021-05-31,443.0
1661,UT,Salt Lake City UT,2021-06-30,443.0
1662,UT,Salt Lake City UT,2021-07-31,444.0
1663,UT,Salt Lake City UT,2021-08-31,444.0
1664,UT,Salt Lake City UT,2021-09-30,445.0
1665,UT,Salt Lake City UT,2021-10-31,445.0
1666,UT,Salt Lake City UT,2021-11-30,446.0
1667,UT,Salt Lake City UT,2021-12-31,446.0
1668,VA,Norfolk-VA Beach VA,2021-01-31,643.0
1669,VA,Norfolk-VA Beach VA,2021-02-28,644.0
1670,VA,Norfolk-VA Beach VA,2021-03-31,649.0
1671,VA,Norfolk-VA Beach VA,2021-04-30,651.0
1672,VA,Norfolk-VA Beach VA,2021-05-31,652.0
1673,VA,Norfolk-VA Beach VA,2021-06-30,654.0
1674,VA,Norfolk-VA Beach VA,2021-07-31,656.0
1675,VA,Norfolk-VA Beach VA,2021-08-31,657.0
1676,VA,Norfolk-VA Beach VA,2021-09-30,659.0
1677,VA,Norfolk-VA Beach VA,2021-10-31,661.0
1678,VA,Norfolk-VA Beach VA,2021-11-30,662.0
1679,VA,Norfolk-VA Beach VA,2021-12-31,664.0
1680,VA,Other VA,2021-01-31,477.0
1681,VA,Other VA,2021-02-28,477.0
1682,VA,Other VA,2021-03-31,481.0
1683,VA,Other VA,2021-04-30,481.0
1684,VA,Other VA,2021-05-31,481.0
1685,VA,Other VA,2021-06-30,481.0
1686,VA,Other VA,2021-07-31,480.0
1687,VA,Other VA,2021-08-31,480.0
1688,VA,Other VA,2021-09-30,480.0
1689,VA,Other VA,2021-10-31,480.0
1690,VA,Other VA,2021-11-30,480.0
1691,VA,Other VA,2021-12-31,480.0
1692,VA,Richmond-Petersburg VA,2021-01-31,692.0
1693,VA,Richmond-Petersburg VA,2021-02-28,695.0
1694,VA,Richmond-Petersburg VA,2021-03-31,698.0
1695,VA,Richmond-Petersburg VA,2021-04-30,583.0
1696,VA,Richmond-Petersburg VA,2021-05-31,586.0
1697,VA,Richmond-Petersburg VA,2021-06-30,588.0
1698,VA,Richmond-Petersburg VA,2021-07-31,590.0
1699,VA,Richmond-Petersburg VA,2021-08-31,593.0
1700,VA,Richmond-Petersburg VA,2021-09-30,595.0
1701,VA,Richmond-Petersburg VA,2021-10-31,597.0
1702,VA,Richmond-Petersburg VA,2021-11-30,600.0
1703,VA,Richmond-Petersburg VA,2021-12-31,602.0
1704,VA,VA-DC Suburbs VA,2021-01-31,830.0
1705,VA,VA-DC Suburbs VA,2021-02-28,833.0
1706,VA,VA-DC Suburbs VA,2021-03-31,839.0
1707,VA,VA-DC Suburbs VA,2021-04-30,645.0
1708,VA,VA-DC Suburbs VA,2021-05-31,648.0
1709,VA,VA-DC Suburbs VA,2021-06-30,651.0
1710,VA,VA-DC Suburbs VA,2021-07-31,654.0
1711,VA,VA-DC Suburbs VA,2021-08-31,657.0
1712,VA,VA-DC Suburbs VA,2021-09-30,661.0
1713,VA,VA-DC Suburbs VA,2021-10-31,664.0
1714,VA,VA-DC Suburbs VA,2021-11-30,667.0
1715,VA,VA-DC Suburbs VA,2021-12-31,670.0
1716,VT,Vermont,2021-01-31,41.0
1717,VT,Vermont,2021-02-28,41.0
1718,VT,Vermont,2021-03-31,43.0
1719,VT,Vermont,2021-04-30,43.0
1720,VT,Vermont,2021-05-31,44.0
1721,VT,Vermont,2021-06-30,44.0
1722,VT,Vermont,2021-07-31,45.0
1723,VT,Vermont,2021-08-31,45.0
1724,VT,Vermont,2021-09-30,46.0
1725,VT,Vermont,2021-10-31,46.0
1726,VT,Vermont,2021-11-30,47.0
1727,VT,Vermont,2021-12-31,47.0
1728,WA,Other WA,2021-01-31,382.0
1729,WA,Other WA,2021-02-28,384.0
1730,WA,Other WA,2021-03-31,389.0
1731,WA,Other WA,2021-04-30,391.0
1732,WA,Other WA,2021-05-31,393.0
1733,WA,Other WA,2021-06-30,396.0
1734,WA,Other WA,2021-07-31,398.0
1735,WA,Other WA,2021-08-31,400.0
1736,WA,Other WA,2021-09-30,402.0
1737,WA,Other WA,2021-10-31,404.0
1738,WA,Other WA,2021-11-30,406.0
1739,WA,Other WA,2021-12-31,408.0
1740,WA,Seattle WA,2021-01-31,554.0
1741,WA,Seattle WA,2021-02-28,558.0
1742,WA,Seattle WA,2021-03-31,563.0
1743,WA,Seattle WA,2021-04-30,566.0
1744,WA,Seattle WA,2021-05-31,570.0
1745,WA,Seattle WA,2021-06-30,573.0
1746,WA,Seattle WA,2021-07-31,576.0
1747,WA,Seattle WA,2021-08-31,580.0
1748,WA,Seattle WA,2021-09-30,583.0
1749,WA,Seattle WA,2021-10-31,586.0
1750,WA,Seattle WA,2021-11-30,590.0
1751,WA,Seattle WA,2021-12-31,593.0
1752,WA,Spokane WA,2021-01-31,107.0
1753,WA,Spokane WA,2021-02-28,111.0
1754,WA,Spokane WA,2021-03-31,120.0
1755,WA,Spokane WA,2021-04-30,124.0
1756,WA,Spokane WA,2021-05-31,128.0
1757,WA,Spokane WA,2021-06-30,132.0
1758,WA,Spokane WA,2021-07-31,136.0
1759,WA,Spokane WA,2021-08-31,140.0
1760,WA,Spokane WA,2021-09-30,144.0
1761,WA,Spokane WA,2021-10-31,148.0
1762,WA,Spokane WA,2021-11-30,152.0
1763,WA,Spokane WA,2021-12-31,156.0
1764,WA,Tacoma WA,2021-01-31,269.0
1765,WA,Tacoma WA,2021-02-28,272.0
1766,WA,Tacoma WA,2021-03-31,278.0
1767,WA,Tacoma WA,2021-04-30,281.0
1768,WA,Tacoma WA,2021-05-31,284.0
1769,WA,Tacoma WA,2021-06-30,287.0
1770,WA,Tacoma WA,2021-07-31,290.0
1771,WA,Tacoma WA,2021-08-31,293.0
